ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,CVD,CVD_F,CVD_M,HIV,HIV_F,HIV_M,Hypertension,Hypertension_F,Hypertension_M,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65,WorldPop_F,WorldPop_M,Sex_Ratio
BEVLI,,,,,10.1492669924,5.5394808382,66.2538871613,,,,,,,,,,,,,,,,,,,,,889265.375117,197.790341441,0.1913245,0.5015083039090817,0.49849170158196754,0.99398488
BEVOV,,,,,6.78559797358,4.36536203372,52.918219649,,,,,,,,,,,,,,,,,,,,,1523020.71602,275.460429738,0.1913148,0.5062297786827185,0.493770243628206,0.97538763
BEVWV,,,,,9.63449796472,5.18917367672,62.052069199500004,,,,,,,,,,,,,,,,,,,,,1186742.49535,201.074634928,0.19125028,0.5021833989556731,0.49745269282355276,0.99057972
BEWAL,,,,,11.8881256133,6.58217291641,88.6054955839,,,,,,,,,,,,,,,,,,,,,409510.03861,201.431401185,0.1913106,0.5159450320611519,0.4840549957525741,0.938191
BEWHT,,,,,10.0983817843,4.86186521774,57.3597307747,,,,,,,,,,,,,,,,,,,,,1358890.94973,194.627749889,0.19128576,0.5152151834840817,0.4843699489872825,0.94013137
BEWLG,,,,,12.3181623627,6.54639054153,78.8727350549,,,,,,,,,,,,,,,,,,,,,1130478.19196,161.289512335,0.19068399,0.5098590703467497,0.4867668513321226,0.9547087
BEWLX,,,,,29.6401050788,10.1423007278,122.424818614,,,,,,,,,,,,,,,,,,,,,292143.075265,36.5361524844,0.1910235,0.5023993803955962,0.4974308217580747,0.99011034
BEWNA,,,,,23.8328037525,9.6454683041,114.348615524,,,,,,,,,,,,,,,,,,,,,503344.14133,76.1604087351,0.19130431,0.5112388103297525,0.48870577762169104,0.95592457
BEZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF,58.914025932489366,58.665379758968854,1.2769666910171509,2.6975793838500977,116.446612801,0,115.107834808,7.3000002,5.5999999,16,1.4702758030096108,1.5041392,1.4341558,5.792764442216115,5.6012368,5.9970541,0.5867098900772598,0.7001704,0.46568888,24.46252754123553,25.176373,23.701113,0.13456734,0.22260889,0.026280651,0,0,22817800.1396,69.7774982251,0.023227597,0.5161216650136917,0.48387837269371187,0.93752772
BG,13.468208075477028,15.122241732098212,2.3966333866119385,3.5123276710510254,89.8651329197,0,195.728307142,6,25,38.900002,2.8848524332159426,2.4385529,3.3600714,8.009369816435806,7.1656275,8.9078579,0.025235057832764612,0.012604212,0.038682755,36.30479035892009,33.258003,39.549477,0.3462767,0.2145265,0.085337713,0,0,6915880.13656,39.2227907679,0.21716139,0.5156409205457695,0.4843452942876115,0.93930733
BH,52.12011365758463,55.916415347911,12.274496078491213,17.968881607055664,11.5616264295,0,129.371029225,15.6,29.799999,25.1,2.151419957070921,2.0334067,2.2170312,7.8242955781723245,7.0945129,8.2300291,0.01326775541624095,0.010290632,0.014922931,16.29811982043113,14.041678,17.552622,0.21324557,0.2400783,0.039181869,1,0,2239835.22154,2437.25268938,0.026573453,0.357311860400936,0.6426881255176711,1.7986757
BI,21.035275108846257,21.87731309095038,1.2964719533920288,1.56982421875,36.6027562173,0,66.1675590052,5.0999999,5.4000001,12.6,1.7926698528219687,1.6307081,1.9625871,6.624343610670467,6.5635481,6.7022114,1.060708649168822,1.349347,0.76796454,21.56990907328033,22.062418,21.117163,0.12827602,0.21602781,0.02392474,0,0,11354581.4008,385.947702271,0.026510362,0.5050747180865637,0.4937566434289682,0.97759134
BJ,68.30857511240829,71.35042284336384,1.295109748840332,2.298987865447998,110.321851838,0,155.306816605,1,9.6000004,7.1999998,1.9686627893649853,2.0314083,1.9029199,6.462143924230494,6.2004399,6.7363505,0.8060134364579472,1.0064203,0.59603274,21.372868445125835,21.326212,21.421755,0.14698142,0.22432189,0.02816253,0,0,13017990.3653,95.1628351883,0.027172185,0.5116644207814715,0.4883355511573617,0.9544059
BN,12.28775501414075,13.147976299345812,2.397631883621216,3.918959856033325,242.306258322,0,385.733540465,13.3,14.1,15.5,3.2457508298154143,2.8561146,3.6139803,5.850012243355442,5.622489,6.0650353,0.11409003994801278,0.060067531,0.16514453,17.92080268286814,14.455768,21.195467,0.23098527,0.22876932,0.044981520999999997,0,0,449312.011463,66.3484954907,0.056056418,0.48587692834910434,0.5141230683948065,1.0581343
BO,13.37665524878858,12.434167478870071,1.2572352886199951,3.674765110015869,445.499170786,0,1028.07546494,6.8000002,20.200001,,1.9498362939873422,1.9276669,1.9731346,4.322331672233639,4.188251,4.4593735,0.1467613573925661,0.10350924,0.19032298,15.160186517449695,13.601128,16.73551,0.17122829,0.19105841,0.031421609,0,0,11860513.8588,9.01618651509,0.070309922,0.5012169009514956,0.4985250698571529,0.99462944
BR,11.62951172258365,9.949585486166749,1.3322423696517944,7.881856441497803,736.978099242,0,1332.03370469,10.4,22.1,16.5,2.376987703616158,2.5335808,3.1201966,4.867074965458546,5.3674321,6.1993752,0.32601375894295304,0.27883935,0.50032806,19.517125869966648,20.447096,25.994631,0.20160693,0.18012781,0.039885178,0,1,216318058.513,21.2907828658,0.095356151,0.4327259251653026,0.41043619108972507,0.9484899
BRAC,15.718249076529789,19.47663936001795,0.8777369,4.064192,1012.14053478,855.533056993,1716.76425213,,,,,,,,,,,,,,,,,,,,,937966.70211,5.18227963264,0.058620941,,,
BRAC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAC1200013,19.263024189908062,19.30024328262947,0.50704354,0.3206832,108.648623425,77.1569201238,634.505366309,,,,,,,,,,,,,,,,,,,,,19122.8115786,8.91922181839,0.068784371,0.48028478773895855,0.5197152081507671,1.0820979
BRAC1200054,14.796478683967928,15.496091300373363,0.6308099,2.457917,536.978988065,410.396860311,1070.57471844,,,,,,,,,,,,,,,,,,,,,9013.25405991,1.52482728132,0.064177148,0.4836038317601273,0.5163961504982226,1.0678083
BRAC1200104,16.002551689072092,16.30391234653939,0.9349281,1.1344543,166.823668385,118.443783357,533.056701031,,,,,,,,,,,,,,,,,,,,,23804.1880535,5.10271983999,0.063505284,0.4832493330226665,0.5167506647298299,1.0693251
BRAC1200138,17.74320132700919,17.989961889869974,0.50996333,2.4618268,221.463333333,200.353620626,593.557777778,,,,,,,,,,,,,,,,,,,,,12321.1925435,3.42445595985,0.060405169,0.5170640485900788,0.4829359397633214,0.93399632
BRAC1200179,17.59267241365614,17.686897468273077,0.70231295,0.5476559,119.800987654,106.335021637,549.907654321,,,,,,,,,,,,,,,,,,,,,14663.32861,7.23043817059,0.064165734,0.4838913925151405,0.5161086068028861,1.0665795
BRAC1200203,14.971225336662156,18.57629514192928,1.4070524,3.0179126,620.653868416,665.862113615,1082.66949643,,,,,,,,,,,,,,,,,,,,,91883.8591043,8.87338088887,0.051896516,0.4918262188868507,0.508173790861325,1.0332385
BRAC1200252,16.868541660315106,24.224813368580843,0.87285656,6.6098027,131.300610376,104.769108025,318.575788403,,,,,,,,,,,,,,,,,,,,,22603.32132,11.5029625038,0.062373977,0.4823983982545093,0.5176015875882792,1.0729754
BRAC1200302,15.270905222204773,16.045791008594907,0.8830928,4.5753446,1360.23550725,1094.59326858,2073.02551329,,,,,,,,,,,,,,,,,,,,,39309.0163828,1.18607858255,0.05069587,0.47022769076684184,0.5297722994949343,1.1266294
BRAC1200328,14.190791459567508,14.288586113027195,1.1857307,1.0887399,2953.32865921,1155.17017063,1305.38096739,,,,,,,,,,,,,,,,,,,,,9624.24346657,1.51586761168,0.045329206,0.48718484899998526,0.5128151129118262,1.0526088
BRAC1200336,15.585735582528368,15.86732970523802,1.2603942,2.1770287,1252.74805478,1445.5810752,1876.27295363,,,,,,,,,,,,,,,,,,,,,20837.7104949,3.23868674151,0.045014035,0.47580123557367715,0.5241988078619968,1.1017179
BRAC1200344,15.705559511799311,16.523936782153708,0.6111523,0.73833525,1307.38790712,1206.54272091,2869.34923528,,,,,,,,,,,,,,,,,,,,,10134.5187924,0.80439072882,0.051055171,0.4687578953983054,0.5312421250861403,1.1332974
BRAC1200351,14.081799901565832,14.097388938294069,1.1488469,1.1572975,1533.60805785,1261.71108909,2480.14369835,,,,,,,,,,,,,,,,,,,,,24214.2689429,2.50095733763,0.054230426,0.49426187626074336,0.5057380847994067,1.0232189
BRAC1200385,18.65980159649779,18.74396727840427,0.7511508,1.6026931,74.3075927524,46.3920636674,307.010353753,,,,,,,,,,,,,,,,,,,,,18764.1472891,8.10546319184,0.068673648,0.4801276797285316,0.5198723261816756,1.0827792999999999
BRAC1200393,14.43464851644935,14.565534220266258,1.203921,1.3227066,884.844467778,730.083848096,1191.11576322,,,,,,,,,,,,,,,,,,,,,15369.0929492,2.01535443865,0.054261234,0.49428466761894546,0.505715316166695,1.0231256
BRAC1200401,17.402463050462142,21.466730094439335,0.63080114,6.314099,500.674866514,462.972243553,982.785564455,,,,,,,,,,,,,,,,,,,,,445716.644525,42.4815711518,0.060631968,0.516058560579733,0.4839414292680772,0.93776459
BRAC1200427,15.260629118599176,15.39742406222198,1.3854687,0.8476343,272.392680242,589.293508498,1043.60374243,,,,,,,,,,,,,,,,,,,,,25174.9856922,6.9162048605,0.045640722,0.47622430243186,0.5237756700725932,1.0998508
BRAC1200435,15.047751675974007,15.220835095631504,0.6612505,0.5925358,1189.00247797,1200.47268736,3910.39413546,,,,,,,,,,,,,,,,,,,,,8856.11031327,1.22052236952,0.050393395,0.4682493841327079,0.5317506256605306,1.1356143
BRAC1200450,18.79317780584767,18.7638312316405,1.1576785,1.4993778,64.3589090909,56.4908123494,397.978909091,,,,,,,,,,,,,,,,,,,,,20888.6036134,7.59861899359,0.066964895,0.4883358020857029,0.5116641685490025,1.0477712
BRAC1200500,16.15873667886319,21.456973906394605,0.5585205,4.2988935,891.667708481,812.739657393,1975.40815457,,,,,,,,,,,,,,,,,,,,,49135.4202599,1.74449408009,0.064162813,0.48411188658160087,0.5158881081289359,1.0656382
BRAC1200609,15.18351488966446,15.542868641298174,1.1091033,1.2379513,1153.63902173,1021.52304233,1638.15747965,,,,,,,,,,,,,,,,,,,,,48496.689201,2.03459847294,0.045779828,0.48692740451059635,0.5130725913447908,1.0536942
BRAC1200708,16.868854796654084,16.975640921683745,0.54077494,0.4774819,437.679956051,381.511134468,696.176581384,,,,,,,,,,,,,,,,,,,,,21501.6432227,3.38023003029,0.064202137,0.48381590617303977,0.5161840834696123,1.0669018
BRAC1200807,18.468572811057282,18.800659961465456,0.6707756,1.3480823,93.3730569948,59.1835628291,304.114313472,,,,,,,,,,,,,,,,,,,,,19042.4513037,6.16260559989,0.060406387,0.5170544087507735,0.48294558580349906,0.93403244
BRAL,5.073097177680358,5.569608515516947,1.9954468,4.462367,45.1224489796,16.4201796898,127.781410627,,,,,,,,,,,,,,,,,,,,,3443110.73036,104.730220537,0.080315031,,,
BRAL27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAL2700102,6.009427086232913,5.971234045319074,2.7692728,3.4157314,38.9364791289,12.1805598469,95.4954627949,,,,,,,,,,,,,,,,,,,,,19927.1402336,36.1654087725,0.094146542,0.5040543641612846,0.495945588988039,0.98391289
BRAL2700201,4.5920833287138185,4.618135165485071,3.2541049,4.565498,28.7219730942,8.67989569234,62.0134529148,,,,,,,,,,,,,,,,,,,,,16715.1692758,75.2935552962,0.10208297,0.5113487131939872,0.488651324149338,0.95561278
BRAL2700300,4.977954554580386,4.975567800750704,4.3669276,6.0930185,6.58620689655,4.86452652536,47.9359605911,,,,,,,,,,,,,,,,,,,,,245563.575381,594.584928283,0.084682301,0.527010244899754,0.4729897331873871,0.89749622
BRAL2700409,4.482175925208404,4.39042573159035,2.5371416,4.054313,29.1338582677,13.9726430225,115.288188976,,,,,,,,,,,,,,,,,,,,,48409.7247661,76.4766583983,0.077988751,0.4993356834147399,0.5006643007599275,1.0026608
BRAL2700508,4.206458335493934,4.111161163846309,0.4871017,0.09926419,33.5128205128,12.9118066682,112.09615384600001,,,,,,,,,,,,,,,,,,,,,16790.621973,107.632192134,0.072750591,0.49848847847680616,0.5015115231312343,1.0060644
BRAL2700607,3.9729166574777017,3.972998560141909,2.838128,2.8407197,17.2840909091,11.2382121384,84.9090909091,,,,,,,,,,,,,,,,,,,,,8464.32093775,95.1047296377,0.064921901,0.5128667535087522,0.48713323021705385,0.94982409
BRAL2700706,5.502727276989913,5.509759240052642,1.4877843,1.0118817,46.5469168901,19.820170166,168.756032172,,,,,,,,,,,,,,,,,,,,,20104.1940882,53.7545296476,0.080459759,0.5124708284649497,0.4875291124329546,0.95133042
BRAL2700805,4.790833338474243,4.751408089459102,3.3554654,4.693149,25.9367088608,9.59954278077,86.7848101266,,,,,,,,,,,,,,,,,,,,,4796.91167402,59.9613959253,0.10413114,0.5115674973317779,0.4884324872374608,0.95477629
BRAL2700904,5.715530300411274,5.803845663454673,0.36745325,0.20476545,63.7864321608,25.6400319799,188.092964824,,,,,,,,,,,,,,,,,,,,,6770.73658777,16.9268414694,0.10515549,0.5060573329922599,0.4939427131223683,0.97606075
BRAL2701001,4.396666671690528,4.4370467744635285,2.4059193,2.711636,23.8956521739,10.2206615868,84.4260869565,,,,,,,,,,,,,,,,,,,,,27699.9422636,119.913169973,0.075995401,0.4977290879814337,0.5022709025023009,1.009125
BRAL2701100,4.58888889249005,4.64610605994054,1.5988665,2.3177845,52.116751269,20.0815590687,98.7868020305,,,,,,,,,,,,,,,,,,,,,9746.22885041,48.731144252,0.070036083,0.4956383206409922,0.5043616434056144,1.0176002
BRAL2701209,5.274500006238583,5.270981940549307,1.5539888,1.572049,43.8018018018,14.2932669075,120.681681682,,,,,,,,,,,,,,,,,,,,,11143.6427203,33.2646051353,0.10138924,0.50957204412662,0.49042794507798715,0.96243101
BRAL2701308,4.7049999970529255,4.738635259243466,3.2280807,3.6161413,34.8532110092,15.5202765684,126.642201835,,,,,,,,,,,,,,,,,,,,,21455.7114866,193.294698077,0.069668241,0.511696757614248,0.48830321970647594,0.95428234
BRAL2701357,4.747083335121445,4.7452660493676895,1.3767332,1.2423464,63.9871794872,20.8572864777,178.333333333,,,,,,,,,,,,,,,,,,,,,7076.18849874,88.4523562342,0.081983365,0.4867953984851255,0.5132046016929365,1.0542511
BRAL2701407,4.506481482419654,4.456434208604404,3.6889172,5.879053,19.6720430108,6.86927673685,57,,,,,,,,,,,,,,,,,,,,,63712.331596000004,172.662145247,0.065002859,0.5128335626952841,0.48716644364571743,0.94995034
BRAL2701506,4.951666665449739,4.957756986213493,0.9753852,0.6824672,31.9558823529,9.64456835097,72.8235294118,,,,,,,,,,,,,,,,,,,,,7562.75341046,37.8137670523,0.10025083,0.5091459011045281,0.49085409751237774,0.96407354
BRAL2701605,5.945362326222039,5.944777622517481,2.0201643,4.391235,68.6875871688,24.0513096185,200.414225941,,,,,,,,,,,,,,,,,,,,,16098.1001332,22.5148253612,0.093997374,0.5005369722717883,0.49946302566585654,0.99785441
BRAL2701704,4.6584374990314625,4.681028479583993,2.1137578,2.4526246,41.8338658147,19.1610793778,157.530351438,,,,,,,,,,,,,,,,,,,,,16288.8520011,52.0410607063,0.086260997,0.5055989212403575,0.4944010848312796,0.97785228
BRAL2701803,5.850416694084785,5.835383946828754,4.038482,3.689585,64.6974789916,14.1008178206,129.621848739,,,,,,,,,,,,,,,,,,,,,10291.367897,85.7613991419,0.084658861,0.5083870339068494,0.4916129858184196,0.96700537
BRAL2701902,4.6515277723885795,4.658298459155147,1.373313,1.6259091,41.3548387097,9.72472218384,67.0322580645,,,,,,,,,,,,,,,,,,,,,6416.36532176,34.6830557933,0.082611874,0.5039420197965071,0.49605800798245975,0.98435533
BRAL2702009,4.945000000732591,4.954904158990087,2.098823,2.1422195,16.9357798165,10.4230987369,84.9908256881,,,,,,,,,,,,,,,,,,,,,9845.30048037,91.160189633,0.10160979,0.5113681608842875,0.4886318614238177,0.95553833
BRAL2702108,4.759722226940919,4.762527030922286,1.2117282,1.2711675,80.4541666667,37.7942043384,212.3125,,,,,,,,,,,,,,,,,,,,,22706.9520454,93.4442471006,0.088259026,0.4979125766150722,0.5020873773461639,1.0083846
BRAL2702207,4.846249997119674,4.925403173376542,0.9858943,0.1285728,8.4693877551,4.21413217515,42.8571428571,,,,,,,,,,,,,,,,,,,,,5945.18787628,138.260183169,0.068034969,0.5144268042734534,0.48557321653665425,0.94391119
BRAL2702306,4.144702374855284,4.06684020810363,1.4532412,1.9494865,40.3033175355,16.7242752845,142.1507109,,,,,,,,,,,,,,,,,,,,,59922.9852684,56.1602486114,0.064945266,0.5128669051174023,0.48713312377968937,0.94982368
BRAL2702355,5.175740738406223,5.139392454345317,2.2132838,3.5881813,16.1621621622,12.8660809135,112.093093093,,,,,,,,,,,,,,,,,,,,,24866.6220639,75.1257464165,0.084582664,0.5269263740901119,0.4730736233401785,0.89779836
BRAL2702405,6.471098496809688,6.26965892879075,2.8108783,8.893435,28.408847185,12.120671796,83.8820375335,,,,,,,,,,,,,,,,,,,,,53902.1539704,72.644412359,0.094219282,0.5224245957863534,0.47757542331492414,0.91415185
BRAL2702504,5.533541669323908,5.537368217431997,2.6062014,3.1120024,49.7142857143,22.8203630391,222.172619048,,,,,,,,,,,,,,,,,,,,,10489.1539438,63.5706299623,0.084698893,0.5082410486644726,0.49175898529441503,0.96757042
BRAL2702553,5.128571431764582,5.144160345570426,1.968335,2.0437958,44.2703583062,13.3886189344,114.104234528,,,,,,,,,,,,,,,,,,,,,18017.8558017,58.1221154894,0.1177218,0.5248041611648281,0.4751958220906711,0.90547264
BRAL2702603,4.905000003476943,4.885879858317447,0.7431408,0.99872565,18.432692307699998,7.56825660026,63.971153846199996,,,,,,,,,,,,,,,,,,,,,22457.643326,105.93227984,0.098881051,0.5094299448043518,0.4905700406794322,0.96297842
BRAL2702702,4.10527776959852,4.125048142516262,1.132536,1.0821962,66.144,20.7494815788,143.616,,,,,,,,,,,,,,,,,,,,,5009.36444992,38.5335726917,0.098297678,0.5011608408807414,0.4988391691165348,0.99536747
BRAL2702801,4.38616666572793,4.342306596727014,1.6726252,2.5667486,47.9974160207,29.2251980148,173.087855297,,,,,,,,,,,,,,,,,,,,,15180.1620713,38.8239439163,0.070703574,0.4943275417452361,0.5056724601453894,1.0229502
